HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"match.adsrvr.org"	shoppingBag	160253	559.859	31.205
"static.criteo.net"	shoppingBag	160056	75.746	1544.419
"www.google-analytics.com"	Product Detail Page	159877	337.932	2219.854
"www.facebook.com"	dsign-in	159823	263.624	35.496
"dnisjsqid2b9p.cloudfront.net"	homepage	159126	384.934	16.380
"securepubads.g.doubleclick.net"	myaccount	158366	246.113	2786.481
"sslwidget.criteo.com"	shoppingBag	156542	474.782	5095.187
"ds-aksb-a.akamaihd.net"	dsign-in	155734	211.080	2312.589
"secure.adnxs.com"	shoppingBag	155611	806.793	31.683
"adservice.google.com"	shoppingBag	154769	381.000	3146.703
"api.bazaarvoice.com"	Product Detail Page	154417	767.740	58.096
"cdns.brsrvr.com"	dsign-in	154319	235.116	36.820
"www.gstatic.com"	dsign-in	153181	266.458	44.932
"d.doubleclick.net"	product matrix	152871	630.448	8628.431
"d3t1dw6evd1rv7.cloudfront.net"	d-registry	151972	432.352	9.402
"dpm.demdex.net"	Checkout	151511	246.182	24.518
"pps.zineone.com"	product matrix	151483	294.799	31.590
"stats.g.doubleclick.net"	shoppingBag	151056	379.663	3218.035
"www.facebook.com"	product matrix	148324	379.618	71.603
"securepubads.g.doubleclick.net"	read_review	148193	184.890	1409.495
"ad.doubleclick.net"	product matrix	146773	624.540	8529.889
"s.thebrighttag.com"	read_review	146135	180.377	1.525
"checkout"	checkout	145712	421.645	2486.677
"us-u.openx.net"	product matrix	145130	832.639	2813.459
"checkout"	checkoutshipping	144610	525.609	3276.091
"maps.googleapis.com"	homepage	142468	740.164	1.653
"triad-d.openx.net"	product matrix	141867	1019.400	180.473
"d.tagdelivery.com"	Product Detail Page	141632	708.256	40.347
"www.googletagservices.com"	NULL	140778	356.813	2087.652
"secure.checkout.visa.com"	directCheckout	140671	407.313	1015.434
"tpc.googlesyndication.com"	dsign-in	138282	173.828	5646.666
"atch.adsrvr.org"	shoppingBag	138179	577.116	35.992
"dserver-us.adtech.advertising.com"	search	138137	638.030	107.972
"ds-aksb-a.akamaihd.net"	product matrix	135728	265.762	1714.429
